company_name,rating_overall,review_count,rating_safety,rating_info_accuracy,rating_info_completeness,rating_staff_attitude,rating_comfort,rating_service_quantity,rating_punctuality
Thơm Phụng,4.6,18,4.9,4.6,4.8,4.8,4.6,4.5,5.0
Thăng Long,4.6,438,4.8,4.7,4.8,4.7,4.4,4.5,4.8
HM Happycar,4.6,264,4.6,4.5,4.6,4.5,4.6,4.5,4.6
Bảo Ngọc Limousine,4.2,18,4.8,4.9,4.9,4.9,4.2,4.2,5.0
36 Limousine,4.8,502,4.8,4.8,4.8,4.7,4.7,4.7,4.7
An Phát,4.0,23,4.2,3.9,3.9,4.1,3.9,3.8,5.0
Bình Hoài Limousine,4.0,297,4.2,4.0,4.1,4.3,4.1,4.0,4.6
Đức Phát,4.7,87,4.8,4.7,4.7,4.6,4.7,4.6,4.8
FUTA HÀ SƠN,4.8,318,4.9,4.7,4.8,4.8,4.8,4.7,4.8
Phú Quý,4.3,468,4.4,4.3,4.4,4.5,4.1,4.2,4.9
Vân Anh Limousine,4.8,32,4.9,4.9,4.9,4.9,4.9,4.9,5.0
Duy Khánh Limousine,3.8,656,4.0,4.0,4.1,4.0,3.9,3.8,4.1
Vĩnh Quang,4.8,25,5.0,4.8,4.9,4.9,4.9,4.9,4.8
Pu Luong Excursions,4.9,16,4.7,5.0,5.0,5.0,4.9,5.0,5.0
Nam Quỳnh Anh,4.2,2035,4.5,4.3,4.5,4.2,4.2,4.2,4.7
Thành Trung Travel,4.0,113,4.4,3.9,4.0,4.3,4.3,3.9,4.3
Thành Trung Limousine,4.0,113,4.4,3.9,4.0,4.3,4.3,3.9,4.3
Việt Nhật,4.7,816,4.8,4.7,4.8,4.8,4.6,4.7,4.8
Quang Dũng VIP Limousine,3.7,887,4.0,3.8,3.8,3.9,3.8,3.7,4.3
Hưng Thành,4.8,63,4.8,4.6,4.8,4.9,4.8,4.7,4.3
Bus365,4.7,165,4.8,4.6,4.7,4.8,4.7,4.7,4.4
Trà Lan Viên,4.4,4199,4.6,4.5,4.5,4.4,4.3,4.3,4.7
Hạnh Cafe - Hà Phương Limousine,4.4,7326,4.6,4.4,4.5,4.4,4.3,4.3,4.7
Nam Hải Limousine,4.7,3463,4.8,4.7,4.7,4.7,4.7,4.7,4.8
Đà Lạt ơi,4.8,3425,4.8,4.8,4.8,4.8,4.8,4.8,4.8
Bình Minh Tải,4.7,3650,4.6,4.6,4.7,4.6,4.6,4.6,4.8
An Anh Limousine,4.8,8322,4.8,4.7,4.7,4.7,4.7,4.7,4.6
Xe Nhà,4.3,3213,4.3,4.2,4.4,4.2,4.0,4.0,4.5
Trọng Thủy Limousine,4.7,1344,4.7,4.6,4.7,4.7,4.7,4.6,4.4
Long Vân Limousine,4.5,6899,4.5,4.4,4.5,4.5,4.4,4.4,4.7
Trung Thành,4.9,19,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Như Ý 78,4.6,135,4.7,4.6,4.6,4.6,4.6,4.5,4.5
Mười Phương Express,4.2,165,4.3,4.3,4.3,4.3,4.3,4.3,4.0
Hoàng Khang,3.5,116,4.3,3.8,4.1,3.8,3.8,3.8,4.8
Hiếu Vinh,4.3,83,4.6,4.5,4.5,4.5,4.4,4.4,4.5
An Phú Buslines,4.6,1205,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Tân Quang Dũng,3.8,2348,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Ngọc Ánh Limousine,4.7,13,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Mai Quyên,3.6,80,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Khang Vy Limousine,4.3,76,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Thanh Thuỷ - Quảng Ngãi,4.5,935,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Khanh Phong,4.7,16845,4.8,4.7,4.7,4.7,4.6,4.6,4.8
Huỳnh Gia,4.7,8534,4.8,4.7,4.7,4.7,4.6,4.6,4.7
Nhật Dương - Bình Minh Bus,4.9,5826,4.9,4.9,4.9,4.9,4.9,4.8,4.8
Phương Nam,4.7,2431,4.8,4.7,4.8,4.7,4.6,4.6,4.8
Rạng Đông Buslines,4.2,1481,4.5,4.2,4.3,4.3,4.2,4.2,4.6
Khang Thịnh,4.3,1708,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Tuấn Hiệp,4.0,1234,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Tài Phát Limousine,5.0,1170,4.9,4.9,4.9,4.9,4.9,4.9,5.0
Nguyên Khang Limousine,5.0,2,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Tuấn Tú Express,4.5,1392,4.7,4.6,4.6,4.6,4.5,4.5,4.6
Phương Anh,3.3,248,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Hưng Thịnh,4.9,91,4.9,4.8,4.9,4.9,4.8,4.8,5.0
Hà Linh,4.1,1329,4.4,4.3,4.3,4.2,4.0,4.0,4.8
Dũng Thuỷ Express,4.6,270,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Tín Phát Limousine,4.9,54,4.9,4.9,4.9,4.9,4.9,4.9,4.8
Bốn Luyện Express,4.1,244,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Năm Rùm,3.9,287,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Dũng Lệ,3.8,60,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Cúc Tùng,3.8,2763,4.1,3.9,4.0,3.9,3.9,3.7,4.2
Liên Hưng,4.0,12922,4.3,4.2,4.3,4.1,4.0,3.9,4.2
Ngàn Hà,3.8,61,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Mạnh Hùng,3.1,289,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Quang Hạnh,3.6,362,4.1,3.7,3.9,3.9,3.8,3.6,3.6
Mạnh Hùng,2.8,300,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Phúc Yên,4.6,741,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Mộc Thảo,4.6,1665,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Thuận Phát,5.0,67,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Sao Limousine,4.1,11,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Hoàng Huy,4.3,7,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
Phúc An Express,4.7,3425,4.8,4.7,4.7,4.7,4.6,4.6,4.7
Quỳnh Nhật,3.7,279,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474
